library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,CKKS,8192,3,1,8,1,after_add,9.33894e-09,1.22348e-09,measured
SEAL,CKKS,8192,3,1,8,2,after_multiply_1,9.0549e-09,9.28779e-10,measured
SEAL,CKKS,8192,3,1,8,3,after_relinearize_1,9.0549e-09,9.28779e-10,measured
SEAL,CKKS,8192,3,1,8,4,after_rescale_1,3.79899e-05,3.51583e-06,measured
SEAL,CKKS,8192,3,1,9,0,fresh,1.03647e-08,8.61798e-10,measured
SEAL,CKKS,8192,3,1,9,1,after_add,1.11657e-08,1.24081e-09,measured
SEAL,CKKS,8192,3,1,9,2,after_multiply_1,1.05163e-08,9.27833e-10,measured
SEAL,CKKS,8192,3,1,9,3,after_relinearize_1,1.05163e-08,9.27833e-10,measured
SEAL,CKKS,8192,3,1,9,4,after_rescale_1,3.61499e-05,3.58153e-06,measured
SEAL,CKKS,8192,5,0,0,0,fresh,0.000636846,5.62967e-05,measured
SEAL,CKKS,8192,5,0,0,1,after_add,0.000910482,8.1568e-05,measured
SEAL,CKKS,8192,5,0,1,0,fresh,0.000443951,5.75647e-05,measured
SEAL,CKKS,8192,5,0,1,1,after_add,0.000684973,8.19453e-05,measured
SEAL,CKKS,8192,5,0,2,0,fresh,0.000421977,5.8428e-05,measured
SEAL,CKKS,8192,5,0,2,1,after_add,0.000630142,8.31399e-05,measured
SEAL,CKKS,8192,5,0,3,0,fresh,0.000482544,5.86075e-05,measured
SEAL,CKKS,8192,5,0,3,1,after_add,0.000623261,8.10521e-05,measured
SEAL,CKKS,8192,5,0,4,0,fresh,0.000583335,5.74531e-05,measured
SEAL,CKKS,8192,5,0,4,1,after_add,0.000892961,8.15777e-05,measured
SEAL,CKKS,8192,5,0,5,0,fresh,0.000467558,5.67353e-05,measured
SEAL,CKKS,8192,5,0,5,1,after_add,0.000817295,8.10931e-05,measured
SEAL,CKKS,8192,5,0,6,0,fresh,0.000599395,5.81937e-05,measured
SEAL,CKKS,8192,5,0,6,1,after_add,0.000911007,8.20738e-05,measured
SEAL,CKKS,8192,5,0,7,0,fresh,0.000413446,5.85357e-05,measured
SEAL,CKKS,8192,5,0,7,1,after_add,0.000810648,8.13778e-05,measured
SEAL,CKKS,8192,5,0,8,0,fresh,0.000410398,5.63051e-05,measured
SEAL,CKKS,8192,5,0,8,1,after_add,0.000798424,8.12663e-05,measured
SEAL,CKKS,8192,5,0,9,0,fresh,0.000455955,5.66515e-05,measured
SEAL,CKKS,8192,5,0,9,1,after_add,0.000730171,8.15946e-05,measured
